route_id,fare_id,price_hkd,currency,status
1000007,1000007-1-7-19,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-20,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-8,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-7-9,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-10,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-11,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-12,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-13,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-14,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-15,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-16,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-17,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-18,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-19,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-20,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-8-9,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-9-10,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-9-11,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-9-12,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-9-13,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-9-14,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-9-15,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-9-16,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-9-17,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-9-18,8.6,HKD,GTFS published fare; no fare collection observation
1000007,1000007-1-9-19,8.6,HKD,GTFS published fare; no fare collection observation
