tier,o_zone_id,d_zone_id,person_trips,straight_distance_m,method
smoke,26,11,0.3246625758259889,369.733,top5 population-weighted exponential distance; 1200 m decay
smoke,26,30,0.2766392419303252,405.98,top5 population-weighted exponential distance; 1200 m decay
smoke,26,91,0.2692751169640938,1452.89,top5 population-weighted exponential distance; 1200 m decay
smoke,26,34,0.25794667905121543,347.888,top5 population-weighted exponential distance; 1200 m decay
smoke,26,80,0.24947638622837687,1358.328,top5 population-weighted exponential distance; 1200 m decay
smoke,27,30,0.46478595793581273,256.282,top5 population-weighted exponential distance; 1200 m decay
smoke,27,91,0.4538585821148107,1299.365,top5 population-weighted exponential distance; 1200 m decay
smoke,27,11,0.4109474827342441,559.855,top5 population-weighted exponential distance; 1200 m decay
smoke,27,80,0.3685259182220816,1363.089,top5 population-weighted exponential distance; 1200 m decay
smoke,27,17,0.3638820589930506,584.485,top5 population-weighted exponential distance; 1200 m decay
smoke,28,30,0.3485693273900888,343.845,top5 population-weighted exponential distance; 1200 m decay
smoke,28,91,0.3416362198172468,1382.487,top5 population-weighted exponential distance; 1200 m decay
smoke,28,11,0.3290319582309748,568.903,top5 population-weighted exponential distance; 1200 m decay
smoke,28,34,0.30626135106009567,357.077,top5 population-weighted exponential distance; 1200 m decay
smoke,28,80,0.27850114350159405,1441.471,top5 population-weighted exponential distance; 1200 m decay
smoke,29,11,0.20702912724821365,405.277,top5 population-weighted exponential distance; 1200 m decay
smoke,29,34,0.18394721346545392,249.244,top5 population-weighted exponential distance; 1200 m decay
smoke,29,30,0.1684833618427945,496.664,top5 population-weighted exponential distance; 1200 m decay
smoke,29,91,0.16340629802684753,1547.914,top5 population-weighted exponential distance; 1200 m decay
smoke,29,80,0.15113399941669042,1455.397,top5 population-weighted exponential distance; 1200 m decay
smoke,30,91,1.066207810019477,1052.459,top5 population-weighted exponential distance; 1200 m decay
smoke,30,17,0.8614482046998714,328.331,top5 population-weighted exponential distance; 1200 m decay
smoke,30,80,0.8364656064666338,1157.468,top5 population-weighted exponential distance; 1200 m decay
smoke,30,11,0.7397962666095209,632.352,top5 population-weighted exponential distance; 1200 m decay
smoke,30,87,0.6780821122044972,841.101,top5 population-weighted exponential distance; 1200 m decay
smoke,31,91,0.5208188062501802,1028.565,top5 population-weighted exponential distance; 1200 m decay
smoke,31,30,0.4627162012249398,155.977,top5 population-weighted exponential distance; 1200 m decay
smoke,31,80,0.4522958657507136,1011.638,top5 population-weighted exponential distance; 1200 m decay
smoke,31,17,0.42586597633871937,290.071,top5 population-weighted exponential distance; 1200 m decay
smoke,31,11,0.3743031504354472,566.274,top5 population-weighted exponential distance; 1200 m decay
smoke,32,34,0.17857002180018544,273.65,top5 population-weighted exponential distance; 1200 m decay
smoke,32,11,0.17834684387202418,573.035,top5 population-weighted exponential distance; 1200 m decay
smoke,32,30,0.17673197879764557,428.111,top5 population-weighted exponential distance; 1200 m decay
smoke,32,91,0.17320425388063115,1466.84,top5 population-weighted exponential distance; 1200 m decay
smoke,32,80,0.14314690164951366,1509.355,top5 population-weighted exponential distance; 1200 m decay
smoke,33,34,0.413512563547103,242.916,top5 population-weighted exponential distance; 1200 m decay
smoke,33,11,0.3833647666397683,631.642,top5 population-weighted exponential distance; 1200 m decay
smoke,33,30,0.38019049372822417,485.78,top5 population-weighted exponential distance; 1200 m decay
smoke,33,91,0.37636869679164936,1512.437,top5 population-weighted exponential distance; 1200 m decay
smoke,33,80,0.3045634792932554,1580.26,top5 population-weighted exponential distance; 1200 m decay
smoke,34,11,0.917211377282198,612.829,top5 population-weighted exponential distance; 1200 m decay
smoke,34,30,0.7532448488672902,693.326,top5 population-weighted exponential distance; 1200 m decay
smoke,34,91,0.7338011937654599,1739.242,top5 population-weighted exponential distance; 1200 m decay
smoke,34,14,0.660576604276723,213.19,top5 population-weighted exponential distance; 1200 m decay
smoke,34,94,0.6503127511816919,1157.657,top5 population-weighted exponential distance; 1200 m decay
smoke,35,34,0.28668503413714524,147.75,top5 population-weighted exponential distance; 1200 m decay
smoke,35,11,0.2455851523011747,631.324,top5 population-weighted exponential distance; 1200 m decay
smoke,35,30,0.226072422517656,574.831,top5 population-weighted exponential distance; 1200 m decay
smoke,35,91,0.22246463897316118,1608.669,top5 population-weighted exponential distance; 1200 m decay
smoke,35,80,0.18519275207086275,1642.509,top5 population-weighted exponential distance; 1200 m decay
smoke,36,11,0.22143796398373983,425.219,top5 population-weighted exponential distance; 1200 m decay
smoke,36,34,0.20963524136985798,193.062,top5 population-weighted exponential distance; 1200 m decay
smoke,36,30,0.1713990380660999,576.757,top5 population-weighted exponential distance; 1200 m decay
smoke,36,91,0.1661822899990548,1628.382,top5 population-weighted exponential distance; 1200 m decay
smoke,36,94,0.15734546658124754,967.425,top5 population-weighted exponential distance; 1200 m decay
smoke,37,34,0.22852819422244317,175.762,top5 population-weighted exponential distance; 1200 m decay
smoke,37,11,0.22330156046852523,501.411,top5 population-weighted exponential distance; 1200 m decay
smoke,37,30,0.19243770864204787,524.072,top5 population-weighted exponential distance; 1200 m decay
smoke,37,91,0.18671400743074515,1574.839,top5 population-weighted exponential distance; 1200 m decay
smoke,37,80,0.16501852923623853,1536.858,top5 population-weighted exponential distance; 1200 m decay
smoke,38,91,0.1676308185180795,1123.752,top5 population-weighted exponential distance; 1200 m decay
smoke,38,30,0.13297083821505917,387.18,top5 population-weighted exponential distance; 1200 m decay
smoke,38,17,0.11753049753986974,569.804,top5 population-weighted exponential distance; 1200 m decay
smoke,38,87,0.10748577938242915,902.565,top5 population-weighted exponential distance; 1200 m decay
smoke,38,80,0.10492012993276019,1499.824,top5 population-weighted exponential distance; 1200 m decay
smoke,39,80,0.08330690746094609,273.086,top5 population-weighted exponential distance; 1200 m decay
smoke,39,91,0.05975512542290609,858.023,top5 population-weighted exponential distance; 1200 m decay
smoke,39,86,0.03747592452739998,481.126,top5 population-weighted exponential distance; 1200 m decay
smoke,39,87,0.03089316429917234,895.214,top5 population-weighted exponential distance; 1200 m decay
smoke,39,92,0.027764939238088423,922.067,top5 population-weighted exponential distance; 1200 m decay
smoke,40,80,0.2696443723074433,121.571,top5 population-weighted exponential distance; 1200 m decay
smoke,40,91,0.14373760833368204,1062.714,top5 population-weighted exponential distance; 1200 m decay
smoke,40,86,0.09315356138712844,646.438,top5 population-weighted exponential distance; 1200 m decay
smoke,40,94,0.08700713360519258,938.586,top5 population-weighted exponential distance; 1200 m decay
smoke,40,57,0.0809083728411063,427.075,top5 population-weighted exponential distance; 1200 m decay
smoke,41,80,0.4187530674966552,217.439,top5 population-weighted exponential distance; 1200 m decay
smoke,41,91,0.2787064307929784,892.191,top5 population-weighted exponential distance; 1200 m decay
smoke,41,86,0.17818417830858202,492.236,top5 population-weighted exponential distance; 1200 m decay
smoke,41,87,0.14554888600744123,917.294,top5 population-weighted exponential distance; 1200 m decay
smoke,41,94,0.13880743739434312,1002.149,top5 population-weighted exponential distance; 1200 m decay
smoke,42,80,0.4371529867278619,265.05,top5 population-weighted exponential distance; 1200 m decay
smoke,42,91,0.3199079780202818,825.955,top5 population-weighted exponential distance; 1200 m decay
smoke,42,86,0.20447986269619822,426.267,top5 population-weighted exponential distance; 1200 m decay
smoke,42,87,0.16727107570447483,849.583,top5 population-weighted exponential distance; 1200 m decay
smoke,42,94,0.14918809685118326,1014.819,top5 population-weighted exponential distance; 1200 m decay
smoke,43,80,0.6460609446570298,133.97,top5 population-weighted exponential distance; 1200 m decay
smoke,43,91,0.3867843343164792,935.807,top5 population-weighted exponential distance; 1200 m decay
smoke,43,86,0.25552467290812997,496.5,top5 population-weighted exponential distance; 1200 m decay
smoke,43,94,0.21924156696063127,890.511,top5 population-weighted exponential distance; 1200 m decay
smoke,43,87,0.2063884811577299,935.062,top5 population-weighted exponential distance; 1200 m decay
smoke,44,80,0.4159824860965574,196.036,top5 population-weighted exponential distance; 1200 m decay
smoke,44,91,0.2739540430162905,883.46,top5 population-weighted exponential distance; 1200 m decay
smoke,44,86,0.17830606308751396,462.047,top5 population-weighted exponential distance; 1200 m decay
smoke,44,87,0.14470075143459918,894.939,top5 population-weighted exponential distance; 1200 m decay
smoke,44,94,0.14105665636503875,953.492,top5 population-weighted exponential distance; 1200 m decay
smoke,45,80,0.388540944879017,223.151,top5 population-weighted exponential distance; 1200 m decay
smoke,45,91,0.27015265326868393,845.45,top5 population-weighted exponential distance; 1200 m decay
smoke,45,86,0.1785786940807849,405.435,top5 population-weighted exponential distance; 1200 m decay
smoke,45,87,0.1443270169826375,843.264,top5 population-weighted exponential distance; 1200 m decay
smoke,45,94,0.1384006907888768,921.524,top5 population-weighted exponential distance; 1200 m decay
smoke,46,80,0.5304757899106727,189.909,top5 population-weighted exponential distance; 1200 m decay
smoke,46,91,0.3342670584603768,930.314,top5 population-weighted exponential distance; 1200 m decay
smoke,46,86,0.22700831308959812,457.894,top5 population-weighted exponential distance; 1200 m decay
smoke,46,94,0.20695321885968115,779.125,top5 population-weighted exponential distance; 1200 m decay
smoke,46,87,0.18329561967967137,896.849,top5 population-weighted exponential distance; 1200 m decay
smoke,47,80,0.4423280191265268,195.221,top5 population-weighted exponential distance; 1200 m decay
smoke,47,91,0.2461873515467383,1084.577,top5 population-weighted exponential distance; 1200 m decay
smoke,47,94,0.1943080453449932,642.027,top5 population-weighted exponential distance; 1200 m decay
smoke,47,57,0.174892762697922,169.635,top5 population-weighted exponential distance; 1200 m decay
smoke,47,86,0.16828382128381983,604.341,top5 population-weighted exponential distance; 1200 m decay
smoke,48,80,0.5902454569666606,273.224,top5 population-weighted exponential distance; 1200 m decay
smoke,48,91,0.3905782154408292,954.922,top5 population-weighted exponential distance; 1200 m decay
smoke,48,86,0.26799395290598654,470.154,top5 population-weighted exponential distance; 1200 m decay
smoke,48,94,0.2665826585722293,686.727,top5 population-weighted exponential distance; 1200 m decay
smoke,48,57,0.2245997161142942,293.646,top5 population-weighted exponential distance; 1200 m decay
smoke,49,80,0.31861402520116056,345.557,top5 population-weighted exponential distance; 1200 m decay
smoke,49,91,0.2387012614154104,878.283,top5 population-weighted exponential distance; 1200 m decay
smoke,49,86,0.16394127688821583,392.364,top5 population-weighted exponential distance; 1200 m decay
smoke,49,94,0.14792076113936473,726.0,top5 population-weighted exponential distance; 1200 m decay
smoke,49,87,0.13482267535584846,809.313,top5 population-weighted exponential distance; 1200 m decay
smoke,50,80,0.2627157815849325,387.261,top5 population-weighted exponential distance; 1200 m decay
smoke,50,91,0.20985367978899336,843.061,top5 population-weighted exponential distance; 1200 m decay
smoke,50,86,0.1440292279869663,357.969,top5 population-weighted exponential distance; 1200 m decay
smoke,50,94,0.12424495642611424,745.52,top5 population-weighted exponential distance; 1200 m decay
