source_turn_id,source_edge_sequence,from_link_id,to_link_id,via_node_id,no_turn,included_vehicle_types,excluded_vehicle_types,part_time_restriction,status
6727,104578|104578,309157,309156,10414,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6730,105184|105175,310368,310351,10494,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6732,104660|104660,309320,309321,10387,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6732,104660|104660,309321,309320,10389,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6733,104675|104674,309350,309348,10387,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6734,104546|104546,309092,309093,10400,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6734,104546|104546,309093,309092,10428,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
5581,106901|106901,313802,313803,10046,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
5581,106901|106901,313803,313802,10044,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2204,104298|104298,308596,308597,10624,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2204,104298|104298,308597,308596,10625,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
5579,105506|105506,311012,311013,10101,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
5579,105506|105506,311013,311012,10105,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2334,104685|104685,309370,309371,10370,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2334,104685|104685,309371,309370,10368,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
18973,105442|115798,310884,331596,10242,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140282,104667|104667,309334,309335,10591,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140282,104667|104667,309335,309334,10578,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140281,104667|104667,309334,309335,10591,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140281,104667|104667,309335,309334,10578,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140280,104691|104691,309382,309383,10602,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140280,104691|104691,309383,309382,10594,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140283,104662|104662,309324,309325,10578,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140283,104662|104662,309325,309324,10584,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
18568,104167|104180,308335,308360,10541,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6729,104679|104679,309358,309359,10443,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6729,104679|104679,309359,309358,10442,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
18902,104735|104318,309470,308636,10309,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
925,105320|105320,310640,310641,10195,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
925,105320|105320,310641,310640,10200,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6701,104268|104268,308536,308537,10408,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6701,104268|104268,308537,308536,10407,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6703,104158|104158,308316,308317,10420,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6703,104158|104158,308317,308316,10418,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6704,104943|104943,309886,309887,10541,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6704,104943|104943,309887,309886,10537,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
