o_zone_id,d_zone_id,volume
51,57,0.022825033553148494
51,59,0.021737750610825748
52,80,0.047563335084287874
52,91,0.03016958316783315
52,94,0.023571553329973474
52,86,0.020719881741297155
52,57,0.01957564667660837
53,80,0.051774579624079865
53,91,0.03469974543107369
53,94,0.02580705403929401
53,86,0.023830211469563014
53,57,0.020955076102656095
54,80,0.03791291733419911
54,91,0.026794141026316765
54,94,0.01908082903431232
54,86,0.018389988058602594
54,17,0.015688791213235867
55,80,0.04086692237267328
55,91,0.03226692615523344
55,86,0.022069370864330067
55,94,0.020884516330400334
55,17,0.019112264277362897
56,80,0.10800364108687031
56,94,0.059498086392660854
56,91,0.055289743166165604
56,57,0.05130521957049653
56,59,0.049369976450473425
57,80,0.14450970239522967
57,94,0.07792227795192151
57,91,0.07741212343676539
57,59,0.0679850117383179
57,61,0.06257088447776558
58,80,0.12603221328780773
58,94,0.07353053017234853
58,91,0.06535236671025031
58,57,0.06117755554962976
58,59,0.05950733427996368
59,80,0.13511281831193636
59,94,0.07746496893492494
59,91,0.07342135651946087
59,57,0.06779902619965682
59,61,0.06220183003402102
60,80,0.10093745517042864
60,94,0.06235943550722394
60,91,0.05300500335878133
60,57,0.04964441331919944
60,59,0.04872035931103328
61,80,0.12477969280808437
61,94,0.07585849057435727
61,91,0.0688271738543101
61,57,0.062566526006736
61,59,0.062368116756512264
62,80,0.10016848428069376
62,94,0.06508717377025822
62,91,0.05331668400886588
62,57,0.049696908545575125
62,59,0.04906408272794036
63,80,0.1128435966824992
63,94,0.07312665849274318
63,91,0.0628589146887295
63,57,0.05660758776922679
63,59,0.05642990903346801
64,80,0.10473808541264185
64,94,0.06608950432627565
64,91,0.061107606436272256
64,57,0.051266385113289265
64,59,0.050665085378187626
65,80,0.08384015034791786
65,94,0.05218860506986206
65,91,0.05096861580209958
65,57,0.03981109877897885
65,59,0.03905819666780833
66,80,0.06930004781934482
66,91,0.04482299190053521
66,94,0.038088469583339536
66,86,0.03076257390467089
66,57,0.030092583458776235
67,80,0.04455888515897798
67,91,0.031857621566265815
67,94,0.02463428346237155
67,86,0.02179735199866857
67,17,0.0195518578137161
68,80,0.06831031905553657
68,91,0.051843022091294294
68,94,0.03776098385494264
68,86,0.035364327135511874
68,17,0.03205468119604795
69,80,0.03595554495470785
69,91,0.029519431096449347
69,94,0.02001039713825436
69,86,0.020006293361355076
69,17,0.01850833344923337
70,80,0.03388387470232831
70,91,0.02131648962692437
70,94,0.020908760141641527
70,57,0.015721212251790382
70,59,0.015369663277315426
71,80,0.039569154332557956
71,91,0.026102727223341043
71,94,0.02419324351325761
71,86,0.017867965739534714
71,57,0.017866909191308688
72,80,0.05095301809697062
72,91,0.03512865978782843
72,94,0.03108618825867898
72,86,0.023994100024495882
72,57,0.022571367165359426
73,80,0.043894915685128454
73,91,0.031694899760889024
73,94,0.026769360993389113
73,86,0.021583171446512325
73,17,0.020324318780747763
74,80,0.059388176366977054
74,91,0.045032474278665725
74,94,0.03613719320078227
74,86,0.030543411896994253
