zone_id,source_ssbg,source_stpug,source_population,source_households,allocation_method,allocation_weight,source_year,spatial_parent_match_count
39,22506,225,972,455,clipped_polygon_area_ratio,0.12304324122865891,2021,1
40,22507S,225,551,241,clipped_polygon_area_ratio,0.6120245448952384,2021,1
41,22511S,225,580,256,clipped_polygon_area_ratio,1,2021,1
42,22513,225,639,287,clipped_polygon_area_ratio,1,2021,1
43,22518S,225,857,271,clipped_polygon_area_ratio,1,2021,1
44,22519S,225,577,199,clipped_polygon_area_ratio,1,2021,1
45,22522S,225,560,220,clipped_polygon_area_ratio,1,2021,1
46,22525S,225,741,404,clipped_polygon_area_ratio,1,2021,1
47,22534S,225,613,269,clipped_polygon_area_ratio,1,2021,1
48,22536S,225,870,368,clipped_polygon_area_ratio,1,2021,1
49,22539,225,502,170,clipped_polygon_area_ratio,1,2021,1
50,22540,225,430,168,clipped_polygon_area_ratio,1,2021,1
51,22541S,225,577,312,clipped_polygon_area_ratio,1,2021,1
52,22543,225,531,195,clipped_polygon_area_ratio,1,2021,1
53,22544,225,589,208,clipped_polygon_area_ratio,1,2021,1
54,22545,225,442,182,clipped_polygon_area_ratio,1,2021,1
55,22546S,225,507,216,clipped_polygon_area_ratio,1,2021,1
56,22548,225,1213,419,clipped_polygon_area_ratio,1,2021,1
57,22549,225,1614,568,clipped_polygon_area_ratio,1,2021,1
58,22550,225,1446,560,clipped_polygon_area_ratio,1,2021,1
59,22551,225,1560,692,clipped_polygon_area_ratio,1,2021,1
60,22552,225,1180,442,clipped_polygon_area_ratio,1,2021,1
61,22553,225,1479,737,clipped_polygon_area_ratio,1,2021,1
62,22554,225,1190,442,clipped_polygon_area_ratio,1,2021,1
63,22555,225,1357,501,clipped_polygon_area_ratio,1,2021,1
64,22556,225,1252,510,clipped_polygon_area_ratio,1,2021,1
65,22557,225,997,444,clipped_polygon_area_ratio,1,2021,1
66,22558S,225,799,343,clipped_polygon_area_ratio,1,2021,1
67,22561,225,534,180,clipped_polygon_area_ratio,1,2021,1
68,22562,225,845,300,clipped_polygon_area_ratio,1,2021,1
69,22563S,225,465,212,clipped_polygon_area_ratio,1,2021,1
70,22565,225,402,124,clipped_polygon_area_ratio,1,2021,1
71,22566,225,471,182,clipped_polygon_area_ratio,1,2021,1
72,22567,225,614,268,clipped_polygon_area_ratio,1,2021,1
73,22568,225,541,235,clipped_polygon_area_ratio,1,2021,1
74,22569,225,751,336,clipped_polygon_area_ratio,1,2021,1
75,22570S,225,810,458,clipped_polygon_area_ratio,1,2021,1
76,22573,225,435,198,clipped_polygon_area_ratio,1,2021,1
77,22574,225,1067,518,clipped_polygon_area_ratio,1,2021,1
78,22575S,225,887,334,clipped_polygon_area_ratio,1,2021,1
79,22577S,225,744,336,clipped_polygon_area_ratio,1,2021,1
80,22584,225,4170,1512,clipped_polygon_area_ratio,1,2021,1
81,22585,225,807,337,clipped_polygon_area_ratio,1,2021,1
82,22587,225,1686,650,clipped_polygon_area_ratio,0.20606717825702175,2021,1
83,22601S,220S,1301,577,clipped_polygon_area_ratio,0.23871848722476252,2021,1
84,22604,220S,413,92,clipped_polygon_area_ratio,0.3453686930029733,2021,1
85,22605S,220S,774,301,clipped_polygon_area_ratio,1,2021,1
86,22607,220S,2231,584,clipped_polygon_area_ratio,1,2021,1
87,22608S,220S,2635,676,clipped_polygon_area_ratio,0.985581210785533,2021,1
88,22610S,220S,1021,362,clipped_polygon_area_ratio,1,2021,1
89,22613S,220S,1425,720,clipped_polygon_area_ratio,1,2021,1
90,22614S,220S,840,213,clipped_polygon_area_ratio,1,2021,1
91,23608,236,9322,3272,clipped_polygon_area_ratio,0.5224163868407666,2021,1
92,23609,236,8195,2823,clipped_polygon_area_ratio,0.29125737645990407,2021,1
93,23610S,236,459,181,clipped_polygon_area_ratio,0.18967515772209556,2021,1
94,25103S,251S,2716,928,clipped_polygon_area_ratio,0.9787173550129452,2021,1
95,25203S,252,1200,535,clipped_polygon_area_ratio,0.8361075265778491,2021,1
