route_id,agency_id,route_short_name,route_long_name,route_type,service_id,pilot_intersecting_trip_patterns,frequency_records,headway_min_s,headway_max_s,calendar_start,calendar_end,schedule_type
1000335,KMB,203C,TSIM SHA TSUI EAST (MODY ROAD) - SHAM SHUI PO (TAI HANG TUNG) (OMIT PEONY ROAD AND BEGONIA ROAD),3,288,3,3,1500,1800,20200101,20991231,frequency/headway
1000337,KMB,17,RICHLAND GARDENS - HO MAN TIN (OI MAN ESTATE),3,287,1,0,,,20200101,20991231,specified schedule or no frequency record
1000360,CTB,A25,KAI TAK - AIRPORT (VIA TSIM SHA TSUI & HZMB HONG KONG PORT),3,287,2,2,1800,3600,20200101,20991231,frequency/headway
1000360,CTB,A25,KAI TAK - AIRPORT (VIA TSIM SHA TSUI & HZMB HONG KONG PORT),3,480,1,1,1800,1800,20200101,20991231,frequency/headway
1000360,CTB,A25,KAI TAK - AIRPORT (VIA TSIM SHA TSUI & HZMB HONG KONG PORT),3,511,1,1,1800,1800,20200101,20991231,frequency/headway
1000368,KMB,241X,TSING YI (CHEUNG CHING ESTATE) - KOWLOON CITY FERRY,3,287,14,14,1200,2100,20200101,20991231,frequency/headway
1000368,KMB,241X,TSING YI (CHEUNG CHING ESTATE) - KOWLOON CITY FERRY,3,288,5,5,1200,2100,20200101,20991231,frequency/headway
1000368,KMB,241X,TSING YI (CHEUNG CHING ESTATE) - KOWLOON CITY FERRY,3,448,4,4,1500,2100,20200101,20991231,frequency/headway
1000368,KMB,241X,TSING YI (CHEUNG CHING ESTATE) - KOWLOON CITY FERRY,3,480,3,3,1500,1800,20200101,20991231,frequency/headway
1000403,CTB,79P,QUEEN'S HILL FANLING - HSR WEST KOWLOON STATION,3,287,4,0,,,20200101,20991231,specified schedule or no frequency record
1000405,CTB,20A,HIGH SPEED RAIL WEST KOWLOON STATION - KAI TAK CRUISE TERMINAL,3,287,14,14,900,1500,20200101,20991231,frequency/headway
1000405,CTB,20A,HIGH SPEED RAIL WEST KOWLOON STATION - KAI TAK CRUISE TERMINAL,3,480,2,2,1200,1200,20200101,20991231,frequency/headway
1000406,CTB,20A,HIGH SPEED RAIL WEST KOWLOON STATION - KAI TAK CRUISE TERMINAL (VIA MUK ON STREET),3,287,2,0,,,20200101,20991231,specified schedule or no frequency record
1000412,KMB,49,CHING FU COURT - TSEUNG KWAN O INDUSTRIAL ESTATE,3,287,4,0,,,20200101,20991231,specified schedule or no frequency record
1000437,CTB,H2K,CENTRAL (STAR FERRY) - WEST KOWLOON CULTURAL (CIRCULAR),3,511,1,1,1800,1800,20200101,20991231,frequency/headway
1000439,KMB,219X,KO LING ROAD - TSIM SHA TSUI (CIRCULAR),3,287,3,0,,,20200101,20991231,specified schedule or no frequency record
1000454,CTB,N50,TUEN MUN (CHING TIN AND WO TIN) - TSIM SHA TSUI (KOWLOON STATION),3,511,4,0,,,20200101,20991231,specified schedule or no frequency record
1000461,KMB,30X,WHAMPOA GARDEN - TSUEN WAN (ALLWAY GARDENS) (VIA CLAGUE GARDEN ESTATE),3,287,3,3,1200,1500,20200101,20991231,frequency/headway
1000461,KMB,30X,WHAMPOA GARDEN - TSUEN WAN (ALLWAY GARDENS) (VIA CLAGUE GARDEN ESTATE),3,288,1,1,1500,1500,20200101,20991231,frequency/headway
1000461,KMB,30X,WHAMPOA GARDEN - TSUEN WAN (ALLWAY GARDENS) (VIA CLAGUE GARDEN ESTATE),3,448,1,1,1500,1500,20200101,20991231,frequency/headway
1000473,KMB,230R,KOWLOON STATION - MA WAN (PAK YAN ROAD),3,287,2,2,3600,3600,20200101,20991231,frequency/headway
1000473,KMB,230R,KOWLOON STATION - MA WAN (PAK YAN ROAD),3,480,9,9,1200,3600,20200101,20991231,frequency/headway
1000522,KMB,271A,FU TIP BUS TERMINUS - TSIM SHA TSUI EAST (MODY ROAD),3,287,2,0,,,20200101,20991231,specified schedule or no frequency record
1000532,KMB,37X,KWAI CHUNG ESTATE - YAU MA TEI,3,287,4,0,,,20200101,20991231,specified schedule or no frequency record
1000542,KMB,HK1,"STAR FERRY - TSIM SHA TSUI,MONG KOK,WONG TAI SIN (CIRCULAR)",3,511,1,1,1800,1800,20200101,20991231,frequency/headway
