link_id,from_node_id,to_node_id,directed,dir_flag,length,free_speed,free_flow_time,capacity,lanes,link_type,vdf_alpha,vdf_beta,vdf_plf,geometry,mcl_link_class,source_link_id,source_from_node_id,source_to_node_id,mcl_gps_match_allowed,source_kml_id,source_travel_direction,street_name,street_code,geometry_sampling,length_unit,capacity_unit,free_speed_unit
10000176,88,10400,1,1,,,,,,0,,,,"LINESTRING(114.171930582 22.307471174,114.171874538 22.307448237)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000178,89,10431,1,1,,,,,,0,,,,"LINESTRING(114.172808308 22.306620832,114.172579301 22.306618298)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000180,90,10608,1,1,,,,,,0,,,,"LINESTRING(114.176962035 22.307277730,114.176777386 22.307372159)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000182,91,10663,1,1,,,,,,0,,,,"LINESTRING(114.178684078 22.310849837,114.178273790 22.310167466)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000184,92,10663,1,1,,,,,,0,,,,"LINESTRING(114.179374837 22.311504580,114.178273790 22.310167466)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000186,93,10706,1,1,,,,,,0,,,,"LINESTRING(114.180528077 22.310378673,114.179144594 22.309012532)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000188,94,10106,1,1,,,,,,0,,,,"LINESTRING(114.165849236 22.303428255,114.166387135 22.303416986)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000190,95,10073,1,1,,,,,,0,,,,"LINESTRING(114.165668584 22.309352193,114.165465575 22.309105341)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
669858,10000,10083,1,1,545.952342,,,,,1,,,,"LINESTRING(114.160943423 22.311908388,114.160999375 22.311782992,114.161086201 22.311591204,114.161193047 22.311396243,114.161386176 22.311188866,114.161564915 22.311061769,114.161699481 22.310986278,114.161929571 22.310915575,114.162257239 22.310861127,114.162478078 22.310853501,114.162921808 22.310864053,114.163601783 22.310877729,114.164156447 22.310869172,114.164577840 22.310843399,114.165171026 22.310792550,114.165473013 22.310735943,114.165673401 22.310661066)",physical,284929,10000,10083,true,ID_021202,3,-99,<Null>,<=101 vertices; endpoints exact,m,unknown,unknown
669606,10001,10053,1,1,355.452215,,,,,1,,,,"LINESTRING(114.161764922 22.310132985,114.161937699 22.310128300,114.162113598 22.310133095,114.162319024 22.310168954,114.162482079 22.310214366,114.162665676 22.310272921,114.162897611 22.310378970,114.163379285 22.310640072,114.163602940 22.310716709,114.163765998 22.310743005,114.164028351 22.310735659,114.164604408 22.310658537,114.164888165 22.310600019,114.165051046 22.310546158)",physical,284803,10001,10053,true,ID_023798,3,-99,<Null>,<=101 vertices; endpoints exact,m,unknown,unknown
