zone_id,centroid_lon,centroid_lat,production_person_midday,attraction_person_midday,selected_origin,selected_destination
h3r9:892a306612bffff,-71.05168441717053,42.34219122347634,69.45408141304605,66.04057140996686,1,1
h3r9:892a306612fffff,-71.04954126902356,42.33950427630349,143.84729980489357,124.21627554630156,1,1
h3r9:892a306613bffff,-71.04941354809581,42.34488055973351,36.79514543961089,38.57023069715315,1,1
h3r9:892a3066143ffff,-71.06025957036269,42.35293952586885,334.624955379047,365.8681533943381,1,1
h3r9:892a3066147ffff,-71.05811539789424,42.35025237326061,131.11661664251307,146.68082985072843,1,1
h3r9:892a306614bffff,-71.06467468229633,42.35293679742314,254.36409970712828,271.2402866978553,1,1
h3r9:892a306614fffff,-71.06253023943373,42.350249718642885,393.89815315525055,415.0391443237425,1,1
h3r9:892a3066153ffff,-71.0579886441453,42.35562936265101,563.0324798508068,661.4121400002056,1,1
h3r9:892a3066157ffff,-71.0558444859338,42.352942084914204,434.22413308440986,517.3237074790587,1,1
h3r9:892a306615bffff,-71.0624039990112,42.35562672977961,250.6956450804904,264.1074255751143,1,1
h3r9:892a3066163ffff,-71.05824212215141,42.34487571501783,53.749697000323394,48.55265279718689,1,1
h3r9:892a3066167ffff,-71.05609844765193,42.342188790218096,99.4659553881401,97.90516809629453,1,1
h3r9:892a306616bffff,-71.06265645048377,42.344873038658335,260.83097082248844,255.41998162301883,1,1
h3r9:892a306616fffff,-71.06051250567447,42.342186187647016,54.07165293831791,55.94821393369075,1,1
h3r9:892a3066173ffff,-71.055971481566,42.34756527197742,48.610632526815664,50.167063233132865,1,1
h3r9:892a3066177ffff,-71.05382782133806,42.344878222041835,24.40205456431749,21.17093217921438,1,1
h3r9:892a306617bffff,-71.06038605273206,42.347562691166935,94.80790739437415,85.39692465468917,1,1
h3r9:892a30661c3ffff,-71.05130189049893,42.35832159680045,136.0897753803993,147.17884114259428,1,1
h3r9:892a30661c7ffff,-71.04915801707014,42.355634120137346,70.21110390946346,67.68900116170231,1,1
h3r9:892a30661cbffff,-71.05571746074509,42.358319228964206,621.9091709400724,736.022042616325,1,1
h3r9:892a30661cfffff,-71.05357331681424,42.35563182610253,557.8713287261162,667.3709264780376,1,1
h3r9:892a30661d3ffff,-71.04903020695141,42.36101139698278,31.450498966432725,32.0833861239137,1,1
h3r9:892a30661d7ffff,-71.04688634786987,42.358323795200484,48.131081884227235,41.16990741354689,1,1
h3r9:892a30661dbffff,-71.0534460201254,42.361009124783244,131.65415249957175,126.91748123588795,1,1
h3r9:892a3066203ffff,-71.09521393269502,42.36904596340795,79.84015907207004,67.31549718536743,1,1
h3r9:892a3066207ffff,-71.09306687017667,42.36635887331214,72.90118141204668,69.11636726542307,1,1
h3r9:892a306620bffff,-71.09963080350433,42.36904194382923,91.1039437755611,80.96785250945555,1,1
h3r9:892a306620fffff,-71.09748347057847,42.36635492779936,113.89915420652852,98.6013661445364,1,1
