link_id,flow_pce_per_period,cost_min
12153,0.0,0.350402
12154,0.0,0.350402
12155,0.0,0.352462
12156,0.0,0.352462
12157,0.0,0.184416
12158,0.0,0.09271
12159,0.0,0.09271
12160,0.0,0.0613219999999999
12161,0.0,0.0613219999999999
12162,0.0,0.107322
12163,2.7897980104696383,0.19600605641676755
12164,0.0,0.364402
12165,0.0,0.146936
12166,2.7897980104696383,0.14693604229285917
12167,0.0,0.088326
12168,2.7897980104696383,0.06487601867337842
12169,0.0,0.06593
12170,0.0,0.107374
12171,0.0,0.045336
12172,2.7897980104696383,0.04533601304914427
12173,2.7897980104696383,0.21567006207669281
12174,0.0,0.21567
12175,0.0,0.05808
12176,0.0,0.05808
12177,0.0,0.11588
12178,0.0,0.218692
12179,0.0,0.043726
12180,0.0,0.049378
12181,0.0,0.0244
12182,0.0,0.02911
12183,0.0,0.057864
12184,0.0,0.186404
12185,0.0,0.12416
12186,0.0,0.054444
12187,0.0,0.013854
12188,0.0,0.077554
12189,0.0,0.105124
12190,0.0,0.096004
12191,0.0,0.064604
12192,0.0,0.177134
12193,0.0,0.447152
12194,0.0,0.447152
12209,0.0,0.044876
12210,0.0,0.064888
12211,0.0,0.048532
12212,0.0,0.048532
12213,0.0,0.091332
12214,0.0,0.199356
12215,0.0,0.046608
12216,0.4819767289774175,0.04660800040041092
12217,0.6706093864709325,0.3264826672402009
12218,0.33294985207933264,0.3497506668181191
12219,3.4855843010222487,0.9866400171989544
12220,16.250979256360576,1.943489736433108
12221,25.579715147612198,2.3362831933534958
12222,0.0,1.02508
12223,0.0,1.02508
12224,0.0,0.296
12225,0.0,0.296
12226,0.0,0.23463
12227,0.0,0.23463
12228,36.97931638517083,3.168345216437136
12253,0.0,0.207263
12255,0.0,0.677578
12269,0.0,0.861419
12272,0.0,0.204012
12273,0.0,0.396098
12277,0.0,0.407362
128,0.16591106005168288,0.24460400024900467
129,0.0,0.244604
13,0.0,0.405815
132,0.36580192703204567,0.09967600049325999
133,0.8648175231343843,0.09967600275697532
134,0.0,0.164156
13474,0.0,0.1166333333333333
13475,0.0,0.381588
13476,0.0,0.176174
13477,0.0,0.582892
13478,0.0,0.815456
13479,0.0,0.2026359999999999
13480,0.0,0.716456
13481,0.0,0.873372
13482,0.0,0.86162
13483,0.0,0.216292
13484,0.0,0.172622
13485,0.0,0.375704
13486,0.0,0.375704
13487,0.0,0.220954
13488,0.0,0.220954
13489,3.794677244846355,0.1948330040253565
13490,3.309322803215814,0.9628440151295614
13491,3.794677244846355,0.20079800414859666
13492,0.0,0.408066
13493,0.0,0.408066
13494,0.0,0.102256
135,0.0,0.164156
13543,0.0,0.4230213333333333
13546,0.0,0.160256
13547,0.0,0.160256
13548,0.0,0.066732
13549,0.0,0.066732
13550,0.0,0.2834653333333333
13571,0.0,0.2696346666666666
13572,0.0,0.39076
