link_id,from_node_id,to_node_id,source_link_id,geometry,is_physical,is_centroid_connector,fw_volume,full_path_volume,rank26_v_from_paths,rank52_v_from_paths,rank26_minus_fw,rank52_minus_fw,full_path_minus_fw
14910,4855,4861,14910,"LINESTRING (-71.0868444 42.345461, -71.0857885 42.3433687)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14911,4861,4855,14911,"LINESTRING (-71.0857885 42.3433687, -71.0868444 42.345461)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14912,2271,4846,14912,"LINESTRING (-71.0771875 42.3442863, -71.0765129 42.3448344)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14913,4846,2271,14913,"LINESTRING (-71.0765129 42.3448344, -71.0771875 42.3442863)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14914,4970,4451,14914,"LINESTRING (-71.0744752 42.3443013, -71.0747173 42.3447884)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14915,4451,4970,14915,"LINESTRING (-71.0747173 42.3447884, -71.0744752 42.3443013)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14916,1113,4237,14916,"LINESTRING (-71.0816886 42.3406296, -71.083793 42.3420076)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14955,1785,1786,14955,"LINESTRING (-71.0862142 42.3416299, -71.0848289 42.342712)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14956,1785,1787,14956,"LINESTRING (-71.0862142 42.3416299, -71.0835132 42.3438585)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14957,254,2751,14957,"LINESTRING (-71.0856728 42.3376951, -71.0861782 42.3373805)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14958,2751,254,14958,"LINESTRING (-71.0861782 42.3373805, -71.0856728 42.3376951)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14959,2275,2852,14959,"LINESTRING (-71.0835085 42.3440464, -71.0862572 42.3417634)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14960,2858,2852,14960,"LINESTRING (-71.0850199 42.3428419, -71.0862572 42.3417634)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14961,4861,2828,14961,"LINESTRING (-71.0857885 42.3433687, -71.0867763 42.343478)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14962,2828,4861,14962,"LINESTRING (-71.0867763 42.343478, -71.0857885 42.3433687)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14963,1026,1027,14963,"LINESTRING (-71.0871654 42.3367658, -71.0867004 42.3370554)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14964,1027,1026,14964,"LINESTRING (-71.0867004 42.3370554, -71.0871654 42.3367658)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14965,1027,2751,14965,"LINESTRING (-71.0867004 42.3370554, -71.0861782 42.3373805)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14966,2751,1027,14966,"LINESTRING (-71.0861782 42.3373805, -71.0867004 42.3370554)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14967,1026,1028,14967,"LINESTRING (-71.0871654 42.3367658, -71.0877109 42.3364255)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14968,1028,1026,14968,"LINESTRING (-71.0877109 42.3364255, -71.0871654 42.3367658)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14969,2827,256,14969,"LINESTRING (-71.0876095 42.3436088, -71.0899095 42.3439575)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14970,256,2827,14970,"LINESTRING (-71.0899095 42.3439575, -71.0876095 42.3436088)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14971,2853,2856,14971,"LINESTRING (-71.0865692 42.3415168, -71.0889292 42.3404465)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14988,256,2894,14988,"LINESTRING (-71.0899095 42.3439575, -71.0901085 42.3432309)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14989,2894,256,14989,"LINESTRING (-71.0901085 42.3432309, -71.0899095 42.3439575)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14990,2852,2853,14990,"LINESTRING (-71.0862572 42.3417634, -71.0865692 42.3415168)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14991,4773,1785,14991,"LINESTRING (-71.0864587 42.3414317, -71.0862142 42.3416299)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14992,2827,2828,14992,"LINESTRING (-71.0876095 42.3436088, -71.0867763 42.343478)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14993,2828,2827,14993,"LINESTRING (-71.0867763 42.343478, -71.0876095 42.3436088)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14994,249,250,14994,"LINESTRING (-71.0843306 42.3371293, -71.0839736 42.3373445)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14995,250,249,14995,"LINESTRING (-71.0839736 42.3373445, -71.0843306 42.3371293)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14996,252,253,14996,"LINESTRING (-71.0851873 42.3380049, -71.0846928 42.3383204)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14997,253,252,14997,"LINESTRING (-71.0846928 42.3383204, -71.0851873 42.3380049)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14998,4995,4996,14998,"LINESTRING (-71.0841783 42.338649, -71.083315 42.3393189)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14999,4996,4995,14999,"LINESTRING (-71.083315 42.3393189, -71.0841783 42.338649)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000,3581,1864,15000,"LINESTRING (-71.0824833 42.338162, -71.0819867 42.3384275)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15001,1864,3581,15001,"LINESTRING (-71.0819867 42.3384275, -71.0824833 42.338162)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15002,251,2111,15002,"LINESTRING (-71.0848344 42.3368561, -71.0853726 42.3365674)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15003,2111,251,15003,"LINESTRING (-71.0853726 42.3365674, -71.0848344 42.3368561)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15004,1024,2111,15004,"LINESTRING (-71.0859214 42.3362828, -71.0853726 42.3365674)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15005,2111,1024,15005,"LINESTRING (-71.0853726 42.3365674, -71.0859214 42.3362828)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15006,252,254,15006,"LINESTRING (-71.0851873 42.3380049, -71.0856728 42.3376951)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
