path_index,path_id,od_index,o_node_id,d_node_id,membership,raw_flow,link_id_sequence
38,OD007_P03,7,2682,4914,minor,1.1213109867825599e-10,14190;13491;14027;13489;14191;14188;14205;14199;14201;14200;14189;14120;14166;14150;14151;12228;14245;16366;15616;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825
39,OD007_P04,7,2682,4914,minor,1.205154202594532e-10,14190;13491;14027;13489;14191;14188;14205;14199;14195;14120;14166;14150;14151;12228;14245;16366;15616;17481;17479;17482;17485;15636;17907;17814;18054;18060;18061;17808;17904;17825
40,OD008_P00,8,3858,1492,major,11.312532829725715,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15592
41,OD008_P01,8,3858,1492,minor,7.864626167704799e-11,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15592
42,OD008_P02,8,3858,1492,minor,1.1469571596073208e-10,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15593;17036
43,OD008_P03,8,3858,1492,minor,1.1603091843657749e-10,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15593;17036
44,OD008_P04,8,3858,1492,minor,6.249896741737008e-11,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18009;18005;17811;17946;17947;15592
45,OD009_P00,9,3858,2032,major,13.819682705486025,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958
46,OD009_P01,9,3858,2032,minor,7.534031381959581e-11,18164;18117;18140;18115;18152;17775;17956;18015;18018;18019;18014;17958
47,OD009_P02,9,3858,2032,minor,7.696082665999738e-11,18164;18117;18140;18141;18138;15584;17180;17179;15632;18014;17958
48,OD009_P03,9,3858,2032,minor,9.935044198144389e-11,18164;18117;18140;18115;18152;17775;17812;18086;17819;18051;18049;18050;18033;17957;18023;18017;17958
49,OD009_P04,9,3858,2032,minor,7.488491414831369e-11,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18009;18006
50,OD010_P00,10,3858,4914,major,12.180233019600786,18164;18117;18140;18115;18152;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825
51,OD010_P01,10,3858,4914,minor,1.5093593605591604e-10,18164;18117;18140;18115;18154;18153;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825
52,OD010_P02,10,3858,4914,minor,6.853741773036585e-11,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17902;17903;17825
53,OD010_P03,10,3858,4914,minor,1.8013482174583098e-10,18164;18117;18143;18118;18148;15605;17186;17190;17191;17184;17185;17189;17187;15631;17769;17820;18061;17808;17904;17825
54,OD010_P04,10,3858,4914,minor,5.3725325946533334e-11,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18009;18005;17811;17902;17903;17825
55,OD011_P00,11,4285,1492,major,10.417635055512227,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18010;17828;15592
56,OD011_P01,11,4285,1492,minor,9.702216968687615e-11,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18010;17828;15593;17036
57,OD011_P02,11,4285,1492,minor,4.349021866766889e-11,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18005;17811;17946;17947;15592
58,OD011_P03,11,4285,1492,minor,8.08748754271981e-11,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18005;17811;17946;17947;15593;17036
59,OD011_P04,11,4285,1492,minor,3.552180754803126e-11,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18010;18011;18008;17811;17946;17947;15592
60,OD012_P00,12,4285,2032,major,12.35883984101891,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18006
61,OD012_P01,12,4285,2032,minor,6.866266468071527e-11,16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17958
62,OD012_P02,12,4285,2032,minor,5.6552793511893876e-11,16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17960;18009;18006
63,OD012_P03,12,4285,2032,minor,1.0149011452816726e-10,16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;17178;17181;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958
64,OD012_P04,12,4285,2032,minor,3.6260626702747754e-11,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18010;18011;18008;18012;18004;18006
65,OD013_P00,13,4285,4914,major,10.858107617623512,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18005;17811;17902;17903;17825
66,OD013_P01,13,4285,4914,minor,2.674816607719433e-11,16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18010;18011;18008;17811;17902;17903;17825
67,OD013_P02,13,4285,4914,minor,5.020529709394584e-11,16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17958;18007;18005;17811;17902;17903;17825
68,OD013_P03,13,4285,4914,minor,1.1685667099103796e-10,16918;16924;16621;17113;17117;17116;17112;17123;17120;17125;17068;17170;17162;17176;17164;17187;15631;17769;17820;18061;17808;17904;17825
69,OD013_P04,13,4285,4914,minor,3.5393205310113607e-11,16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17960;18009;18005;17811;17902;17903;17825
70,OD014_P00,14,4575,2032,major,6.508237416174415,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16316;16325;15865;16510;16554;16551;16382;16586;15602;17020;17016;17014;17036;16953;15619;18011;18008;18012;18004;18006
71,OD014_P01,14,4575,2032,minor,1.0409010888862837e-09,15990;16154;16155;16156;16145;15892;16246;16241;16248;16233;16250;16249;16175;16257;16275;16170;16310;16308;16321;16320;16316;16325;15865;16510;16554;16551;16382;16586;15602;17020;17016;17014;17036;16953;15619;18011;18008;18012;18004;18006
72,OD014_P02,14,4575,2032,minor,4.2908640934599993e-10,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16322;16317;16323;15868;16507;16382;16586;15602;17020;17016;17014;17036;16953;15619;18011;18008;18012;18004;18006
73,OD014_P03,14,4575,2032,minor,8.999340967964976e-10,15990;16154;16155;16156;16145;15892;16246;16241;16248;16233;16250;16249;16175;16257;16275;16170;16310;16308;16321;16319;16317;16323;15868;16507;16382;16586;15602;17020;17016;17014;17036;16953;15619;18011;18008;18012;18004;18006
74,OD014_P04,14,4575,2032,minor,5.797646299157525e-10,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16316;16325;15865;16510;16554;16551;16382;16586;15602;17020;17016;17014;17036;16953;17050;17047;17048;17052;15650;18009;18006
75,OD015_P00,15,4575,4914,major,6.082155697273838,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16316;16325;15865;16510;16554;16551;16382;16586;16585;16583;16573;16600;16599;15645;17031;15586;17931;17906;17903;17825
76,OD015_P01,15,4575,4914,minor,5.203466924376152e-10,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16316;16325;15865;16510;16554;16551;16382;16586;16585;16583;16573;16600;16599;15645;17032;17029;17028;15586;17931;17906;17903;17825
77,OD015_P02,15,4575,4914,minor,1.0109075058894726e-09,15990;16154;16155;16156;16145;15892;16246;16241;16248;16233;16250;16249;16175;16257;16275;16170;16310;16308;16321;16320;16316;16325;15865;16510;16554;16551;16382;16586;16585;16583;16573;16600;16599;15645;17031;15586;17931;17906;17903;17825
78,OD015_P03,15,4575,4914,minor,4.613413086134429e-10,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16316;16325;15865;16510;16553;16556;16373;16575;16581;16567;16589;16594;15641;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825
79,OD015_P04,15,4575,4914,minor,3.990928263491876e-10,15990;16154;16155;16156;16145;15892;16177;16297;16296;16290;16173;16315;16314;16309;16322;16317;16323;15868;16507;16382;16586;16585;16583;16573;16600;16599;15645;17031;15586;17931;17906;17903;17825
80,OD016_P00,16,4694,2032,major,3.454756899262409,16826;16940;16936;16610;17063;15611;17770;17956;18015;18018;18019;18014;17958
81,OD016_P01,16,4694,2032,minor,9.460063570314479e-11,16826;16940;16936;16610;17063;15611;17770;17812;18086;17819;18051;18049;18050;18033;17957;18023;18017;17958
82,OD016_P02,16,4694,2032,minor,5.848063637247533e-11,16826;16940;16936;16610;17063;15611;17770;17956;18015;18018;18019;18014;17960;18009;18006
83,OD016_P03,16,4694,2032,minor,8.249076453432341e-11,16826;16940;16936;16610;17063;15611;17770;17812;18086;17819;18051;18049;18050;18033;17957;18023;18017;17960;18009;18006
84,OD016_P04,16,4694,2032,minor,1.2810633641357825e-10,16826;16940;16936;16610;17063;15611;17770;17812;18086;18085;18063;18081;18084;18067;18077;17817;17961;18048;18050;18033;17957;18023;18017;17958
85,OD017_P00,17,5012,1492,major,3.3208122546927097,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15592
86,OD017_P01,17,5012,1492,minor,6.543046668845131e-11,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15592
87,OD017_P02,17,5012,1492,minor,8.611413130707511e-11,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15592
88,OD017_P03,17,5012,1492,minor,8.744933378292062e-11,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15592
89,OD017_P04,17,5012,1492,minor,1.014799209721354e-10,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15593;17036
90,OD018_P00,18,5012,2032,major,4.084549581735572,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958
91,OD018_P01,18,5012,2032,minor,9.579785742300754e-11,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958
92,OD018_P02,18,5012,2032,minor,6.21245188309992e-11,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17956;18015;18018;18019;18014;17958
93,OD018_P03,18,5012,2032,minor,8.414338592546854e-11,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17956;18015;18018;18019;18014;17958
94,OD018_P04,18,5012,2032,minor,6.374503167140059e-11,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18141;18138;15584;17180;17179;15632;18014;17958
95,OD019_P00,19,5012,4914,major,3.7165791858016166,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17187;15631;17769;17820;18061;17808;17904;17825
96,OD019_P01,19,5012,4914,minor,1.23546702959798e-10,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17187;15631;17769;17820;18061;17808;17904;17825
97,OD019_P02,19,5012,4914,minor,1.3350342617740062e-10,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825
98,OD019_P03,19,5012,4914,minor,1.555222932718697e-10,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18380;18412;18415;18407;18411;18362;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825
99,OD019_P04,19,5012,4914,minor,1.3772014106731944e-10,15552;15558;15556;15555;15551;15561;15568;15562;15571;14269;18442;18281;18361;18377;18285;18674;18670;18661;18666;18679;14258;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18153;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825
100,OD020_P00,20,5039,1492,major,6.170063732645864,15997;16105;15986;16146;16148;16152;16143;16165;15861;16485;16455;16497;16498;16501;16381;16512;16513;16554;16551;16382;16586;15602;17020;17016;17014;17036
101,OD020_P01,20,5039,1492,minor,1.0607484823806303e-10,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17944;17929;15587;17027;17025;17034;17015;15591;15592
102,OD020_P02,20,5039,1492,minor,1.0739107059098458e-10,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17944;17929;15587;17027;17025;17034;17015;15591;15592
103,OD020_P03,20,5039,1492,minor,1.434595049975926e-10,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17944;17929;15587;17027;17025;17034;17015;15591;15593;17036
104,OD020_P04,20,5039,1492,minor,1.4477572735051382e-10,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17944;17929;15587;17027;17025;17034;17015;15591;15593;17036
105,OD021_P00,21,5039,2032,major,6.748337872937216,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17907;17814;17818;17904;17951;17826;18004;18006
106,OD021_P01,21,5039,2032,minor,1.4301477690265487e-10,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17907;17814;17818;17904;17951;17826;18004;18006
107,OD021_P02,21,5039,2032,minor,4.1192750341381096e-11,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17944;17929;17931;17905;17829;18008;18012;18004;18006
108,OD021_P03,21,5039,2032,minor,4.250897269430239e-11,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17944;17929;17931;17905;17829;18008;18012;18004;18006
109,OD021_P04,21,5039,2032,minor,6.371276334447659e-11,15997;16105;15986;16146;16148;16152;16143;16165;15861;16485;16455;16497;16498;16501;16381;16512;16513;16554;16551;16382;16586;15602;17020;17016;17014;17036;16953;15619;18011;18008;18012;18004;18006
110,OD022_P00,22,5039,4914,major,6.576456883822372,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825
111,OD022_P01,22,5039,4914,minor,1.4922648986048993e-10,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825
112,OD022_P02,22,5039,4914,minor,7.255591747749603e-11,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17944;17929;17931;17906;17903;17825
113,OD022_P03,22,5039,4914,minor,7.387213983041753e-11,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16334;15879;15621;17481;17479;17482;17485;15636;17944;17929;17931;17906;17903;17825
114,OD022_P04,22,5039,4914,minor,1.6094189857153043e-10,15997;16105;15988;16137;15893;16340;16338;16336;16333;16343;16358;16335;16361;15879;15621;17481;17479;17482;17485;15636;17907;17814;18054;18060;18061;17808;17904;17825
115,OD023_P00,23,524,1492,major,10.419398456348535,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15592
116,OD023_P01,23,524,1492,minor,5.071019642722737e-11,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15592
117,OD023_P02,23,524,1492,minor,8.675965071091175e-11,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15593;17036
118,OD023_P03,23,524,1492,minor,8.809485318675695e-11,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15593;17036
119,OD023_P04,23,524,1492,minor,3.456290216754992e-11,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18009;18005;17811;17946;17947;15592
120,OD024_P00,24,524,2032,major,12.738757436278389,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958
121,OD024_P01,24,524,2032,minor,4.740424856977545e-11,18233;18213;18231;18226;18229;18089;18168;18155;18165;18164;18117;18140;18115;18152;17775;17956;18015;18018;18019;18014;17958
