child_zone_id,parent_zone_id,relationship,allocation_weight,network_id,network_version,method
h3r9:892a30660abffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30660afffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30660b3ffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30660b7ffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30660bbffff,h3r7:872a30660ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066103ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066107ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306610bffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306610fffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066113ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306611bffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066123ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066127ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306612bffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306612fffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306613bffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066143ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066147ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306614bffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306614fffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066153ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066157ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306615bffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
