zone_id,name,boundary,super_zone,mcl_original_h3_id,mcl_h3_resolution,mcl_clipped_geometry_wkt,mcl_boundary_status
116,h3r9:892a3066313ffff,"POLYGON ((-71.07787869975593 42.354719976354836, -71.08010709166979 42.35382210133943, -71.08014848734904 42.35202973543861, -71.07796166223446 42.35113525174279, -71.0757333651176 42.352033060406576, -71.07569179831906 42.35382541911488, -71.07787869975593 42.354719976354836))",1006,h3r9:892a3066313ffff,9,"POLYGON ((-71.07569179831906 42.35382541911488, -71.0757333651176 42.352033060406576, -71.07796166223446 42.35113525174279, -71.08014848734904 42.35202973543861, -71.08010709166979 42.35382210133943, -71.07787869975593 42.354719976354836, -71.07569179831906 42.35382541911488))",full_h3_cell; clipped_core_geometry_companion
117,h3r9:892a3066317ffff,"POLYGON ((-71.0757333651176 42.352033060406576, -71.07796166223446 42.35113525174279, -71.07800313864743 42.34934294462849, -71.0758164890424 42.34844845337381, -71.07358828672203 42.34934619569225, -71.07354663921093 42.35113849560776, -71.0757333651176 42.352033060406576))",1006,h3r9:892a3066317ffff,9,"POLYGON ((-71.07354663921093 42.35113849560776, -71.07358828672203 42.34934619569225, -71.0758164890424 42.34844845337381, -71.07800313864743 42.34934294462849, -71.07796166223446 42.35113525174279, -71.0757333651176 42.352033060406576, -71.07354663921093 42.35113849560776))",full_h3_cell; clipped_core_geometry_companion
118,h3r9:892a306631bffff,"POLYGON ((-71.0822940923141 42.35471657746192, -71.08452241229179 42.35381861414242, -71.08456363684914 42.35202624106317, -71.08237671255144 42.35113183847895, -71.08014848734904 42.35202973543861, -71.08010709166979 42.35382210133943, -71.0822940923141 42.35471657746192))",1006,h3r9:892a306631bffff,9,"POLYGON ((-71.08010709166979 42.35382210133943, -71.08014848734904 42.35202973543861, -71.08237671255144 42.35113183847895, -71.08456363684914 42.35202624106317, -71.08452241229179 42.35381861414242, -71.0822940923141 42.35471657746192, -71.08010709166979 42.35382210133943))",full_h3_cell; clipped_core_geometry_companion
119,h3r9:892a3066323ffff,"POLYGON ((-71.07812754858577 42.34396624408092, -71.08035541758842 42.34306845789698, -71.08039679400757 42.34127631279779, -71.07821047246453 42.34038196106908, -71.0759826982135 42.341279680910255, -71.07594115075459 42.34307181881996, -71.07812754858577 42.34396624408092))",1006,h3r9:892a3066323ffff,9,"POLYGON ((-71.07594115075459 42.34307181881996, -71.0759826982135 42.341279680910255, -71.07821047246453 42.34038196106908, -71.08039679400757 42.34127631279779, -71.08035541758842 42.34306845789698, -71.07812754858577 42.34396624408092, -71.07594115075459 42.34307181881996))",full_h3_cell; clipped_core_geometry_companion
120,h3r9:892a3066327ffff,"POLYGON ((-71.0759826982135 42.341279680910255, -71.07821047246453 42.34038196106908, -71.07825192958101 42.338589874776254, -71.07606578346578 42.33769551551745, -71.07383810396584 42.3385931690222, -71.07379647583078 42.34038524811923, -71.0759826982135 42.341279680910255))",1006,h3r9:892a3066327ffff,9,"POLYGON ((-71.07379647583078 42.34038524811923, -71.07383810396584 42.3385931690222, -71.07606578346578 42.33769551551745, -71.07825192958101 42.338589874776254, -71.07821047246453 42.34038196106908, -71.0759826982135 42.341279680910255, -71.07379647583078 42.34038524811923))",full_h3_cell; clipped_core_geometry_companion
121,h3r9:892a306632bffff,"POLYGON ((-71.08254191457942 42.343962802081165, -71.0847697116779 42.343064927636846, -71.08481091705467 42.341272775362214, -71.08262449637608 42.34037850470442, -71.08039679400757 42.34127631279779, -71.08035541758842 42.34306845789698, -71.08254191457942 42.343962802081165))",1006,h3r9:892a306632bffff,9,"POLYGON ((-71.08035541758842 42.34306845789698, -71.08039679400757 42.34127631279779, -71.08262449637608 42.34037850470442, -71.08481091705467 42.341272775362214, -71.0847697116779 42.343064927636846, -71.08254191457942 42.343962802081165, -71.08035541758842 42.34306845789698))",full_h3_cell; clipped_core_geometry_companion
122,h3r9:892a306632fffff,"POLYGON ((-71.08039679400757 42.34127631279779, -71.08262449637608 42.34037850470442, -71.08266578247134 42.338586411229876, -71.08047953722007 42.33769213302751, -71.07825192958101 42.338589874776254, -71.07821047246453 42.34038196106908, -71.08039679400757 42.34127631279779))",1006,h3r9:892a306632fffff,9,"POLYGON ((-71.07821047246453 42.34038196106908, -71.07825192958101 42.338589874776254, -71.08047953722007 42.33769213302751, -71.08266578247134 42.338586411229876, -71.08262449637608 42.34037850470442, -71.08039679400757 42.34127631279779, -71.07821047246453 42.34038196106908))",full_h3_cell; clipped_core_geometry_companion
123,h3r9:892a3066333ffff,"POLYGON ((-71.07585804616943 42.34665620505412, -71.07808608182272 42.345758440795166, -71.07812754858577 42.34396624408092, -71.07594115075459 42.34307181881996, -71.07371320987511 42.34396951673803, -71.07367157205371 42.34576170625501, -71.07585804616943 42.34665620505412))",1006,h3r9:892a3066333ffff,9,"POLYGON ((-71.07367157205371 42.34576170625501, -71.07371320987511 42.34396951673803, -71.07594115075459 42.34307181881996, -71.07812754858577 42.34396624408092, -71.07808608182272 42.345758440795166, -71.07585804616943 42.34665620505412, -71.07367157205371 42.34576170625501))",full_h3_cell; clipped_core_geometry_companion
124,h3r9:892a3066337ffff,"POLYGON ((-71.07371320987511 42.34396951673803, -71.07594115075459 42.34307181881996, -71.0759826982135 42.341279680910255, -71.07379647583078 42.34038524811923, -71.07156862972458 42.34128287970275, -71.07152691122853 42.34307501040891, -71.07371320987511 42.34396951673803))",1006,h3r9:892a3066337ffff,9,"POLYGON ((-71.07152691122853 42.34307501040891, -71.07156862972458 42.34128287970275, -71.07379647583078 42.34038524811923, -71.0759826982135 42.341279680910255, -71.07594115075459 42.34307181881996, -71.07371320987511 42.34396951673803, -71.07152691122853 42.34307501040891))",full_h3_cell; clipped_core_geometry_companion
125,h3r9:892a306633bffff,"POLYGON ((-71.08027265512256 42.346652858511646, -71.08250061887733 42.34575500597864, -71.08254191457942 42.343962802081165, -71.08035541758842 42.34306845789698, -71.07812754858577 42.34396624408092, -71.07808608182272 42.345758440795166, -71.08027265512256 42.346652858511646))",1006,h3r9:892a306633bffff,9,"POLYGON ((-71.07808608182272 42.345758440795166, -71.07812754858577 42.34396624408092, -71.08035541758842 42.34306845789698, -71.08254191457942 42.343962802081165, -71.08250061887733 42.34575500597864, -71.08027265512256 42.346652858511646, -71.07808608182272 42.345758440795166))",full_h3_cell; clipped_core_geometry_companion
126,h3r9:892a3066343ffff,"POLYGON ((-71.09112495911765 42.35470927138254, -71.09335313514083 42.35381113147126, -71.09339401744658 42.35201874407732, -71.091206894857 42.35112450374207, -71.08897881356572 42.35202257727712, -71.08893776013286 42.35381495752074, -71.09112495911765 42.35470927138254))",1006,h3r9:892a3066343ffff,9,"POLYGON ((-71.08893776013286 42.35381495752074, -71.08897881356572 42.35202257727712, -71.091206894857 42.35112450374207, -71.09339401744658 42.35201874407732, -71.09335313514083 42.35381113147126, -71.09112495911765 42.35470927138254, -71.08893776013286 42.35381495752074))",full_h3_cell; clipped_core_geometry_companion
127,h3r9:892a3066347ffff,"POLYGON ((-71.08897881356572 42.35202257727712, -71.091206894857 42.35112450374207, -71.09124785796004 42.34933217511577, -71.08906091087847 42.34843792717822, -71.08683292431863 42.34933593434339, -71.08679179010967 42.351128255813066, -71.08897881356572 42.35202257727712))",1006,h3r9:892a3066347ffff,9,"POLYGON ((-71.08679179010967 42.351128255813066, -71.08683292431863 42.34933593434339, -71.08906091087847 42.34843792717822, -71.09124785796004 42.34933217511577, -71.091206894857 42.35112450374207, -71.08897881356572 42.35202257727712, -71.08679179010967 42.351128255813066))",full_h3_cell; clipped_core_geometry_companion
128,h3r9:892a306634bffff,"POLYGON ((-71.09554043325862 42.354705364189805, -71.09776853726346 42.35380713599085, -71.09780924843955 42.35201474146069, -71.0956220267412 42.35112058226279, -71.09339401744658 42.35201874407732, -71.09335313514083 42.35381113147126, -71.09554043325862 42.354705364189805))",1006,h3r9:892a306634bffff,9,"POLYGON ((-71.09335313514083 42.35381113147126, -71.09339401744658 42.35201874407732, -71.0956220267412 42.35112058226279, -71.09780924843955 42.35201474146069, -71.09776853726346 42.35380713599085, -71.09554043325862 42.354705364189805, -71.09335313514083 42.35381113147126))",full_h3_cell; clipped_core_geometry_companion
129,h3r9:892a306634fffff,"POLYGON ((-71.09339401744658 42.35201874407732, -71.0956220267412 42.35112058226279, -71.09566281873576 42.349328246493975, -71.09347577254493 42.34843407967931, -71.09124785796004 42.34933217511577, -71.091206894857 42.35112450374207, -71.09339401744658 42.35201874407732))",1006,h3r9:892a306634fffff,9,"POLYGON ((-71.091206894857 42.35112450374207, -71.09124785796004 42.34933217511577, -71.09347577254493 42.34843407967931, -71.09566281873576 42.349328246493975, -71.0956220267412 42.35112058226279, -71.09339401744658 42.35201874407732, -71.091206894857 42.35112450374207))",full_h3_cell; clipped_core_geometry_companion
130,h3r9:892a3066353ffff,"POLYGON ((-71.08885564371238 42.357399828384466, -71.09108398648061 42.35650171039198, -71.09112495911765 42.35470927138254, -71.08893776013286 42.35381495752074, -71.08670951211873 42.354713009138884, -71.08666836833603 42.35650544099023, -71.08885564371238 42.357399828384466))",1006,h3r9:892a3066353ffff,9,"POLYGON ((-71.08666836833603 42.35650544099023, -71.08670951211873 42.354713009138884, -71.08893776013286 42.35381495752074, -71.09112495911765 42.35470927138254, -71.09108398648061 42.35650171039198, -71.08885564371238 42.357399828384466, -71.08666836833603 42.35650544099023))",full_h3_cell; clipped_core_geometry_companion
131,h3r9:892a3066357ffff,"POLYGON ((-71.08670951211873 42.354713009138884, -71.08893776013286 42.35381495752074, -71.08897881356572 42.35202257727712, -71.08679179010967 42.351128255813066, -71.08456363684914 42.35202624106317, -71.08452241229179 42.35381861414242, -71.08670951211873 42.354713009138884))",1006,h3r9:892a3066357ffff,9,"POLYGON ((-71.08452241229179 42.35381861414242, -71.08456363684914 42.35202624106317, -71.08679179010967 42.351128255813066, -71.08897881356572 42.35202257727712, -71.08893776013286 42.35381495752074, -71.08670951211873 42.354713009138884, -71.08452241229179 42.35381861414242))",full_h3_cell; clipped_core_geometry_companion
132,h3r9:892a306635bffff,"POLYGON ((-71.0932713610143 42.357396016637104, -71.0954996317699 42.356497810343264, -71.09554043325862 42.354705364189805, -71.09335313514083 42.35381113147126, -71.09112495911765 42.35470927138254, -71.09108398648061 42.35650171039198, -71.0932713610143 42.357396016637104))",1006,h3r9:892a306635bffff,9,"POLYGON ((-71.09108398648061 42.35650171039198, -71.09112495911765 42.35470927138254, -71.09335313514083 42.35381113147126, -71.09554043325862 42.354705364189805, -71.0954996317699 42.356497810343264, -71.0932713610143 42.357396016637104, -71.09108398648061 42.35650171039198))",full_h3_cell; clipped_core_geometry_companion
