iteration,objective,primal_residual,dual_residual,primal_threshold,dual_threshold,capacity_residual,balance_residual,local_iterations,max_local_primal_correction_l2,wall_seconds
21,943445.3262666208,103.49486075961131,0.10060691099852351,1.7252803605047031,0.014135641658263842,34.498437065103644,6.398138523455006e-08,318,1.9974127339866204e-07,14.871707600017544
22,943511.8450498558,97.26478957261685,0.08413201851011988,1.7249940488428956,0.014126863667590093,7.809703106431698e-09,9.943813388279383e-08,311,2.2461843851081096e-07,15.157720600022003
23,943529.9225616273,93.70269444098449,0.0736636024266968,1.725036938056156,0.014117529896631632,6.554756737386924e-10,7.723333084186379e-08,277,2.5433397774612565e-07,15.451073900039773
24,943501.4674408803,89.51925187821371,0.06487135095087049,1.7253582116103654,0.014108804569336287,2.9132252166164108e-09,3.0111024784673646e-08,276,8.369439650519204e-08,15.733451800013427
25,943434.1046174548,80.79224383931918,0.06327024656274288,1.7258858552365435,0.014101726614851746,1.6671037883497775e-09,2.4837021328494302e-08,266,3.888748368498428e-08,16.0119498000131
26,943339.6994170097,66.23331605029297,0.06855389766795063,1.7265415454032016,0.014097040352831689,2.2812400857219473e-09,2.631317386203591e-08,260,5.6482380834545516e-08,16.31313040002715
27,943232.4355400711,48.26605602807306,0.07431103719524983,1.7272475196280102,0.014095093681665135,37.71518381105125,1.5511147921642987e-08,270,4.263718845496474e-08,16.586084000009578
28,943126.7573085292,34.439044845156104,0.07488798628611164,1.7279278667682443,0.014095829546399216,83.23409722915585,7.99735744294594e-09,270,0.0,16.86506660003215
29,943035.4755713515,35.71159204915649,0.06791053934866721,1.7288728129454816,0.014098854224697097,112.50150953558477,8.37019342725398e-09,262,6.595634897213404e-08,17.158366699994076
30,942968.2821301991,47.06276137014991,0.05378608917863325,1.7295997038082576,0.014103543205584164,126.17990241786629,4.272862952348078e-09,270,0.0,17.45344410004327
31,942930.8329812274,56.67368411012588,0.03500553390739652,1.7300078524946536,0.014109151329054808,126.15335160397899,7.746692176624492e-09,261,0.0,17.73485420003999
32,942924.4624588068,59.75573136602699,0.01699139605402136,1.7300714874771306,0.014114912693488767,116.16899904109141,9.226255315297749e-09,268,5.686943200075031e-08,18.033195700030774
33,942946.4950096807,55.36356087051362,0.01719464016464985,1.7298171000192566,0.014120128083891037,113.72617519117284,3.6219915955371107e-09,276,0.0,18.310617100039963
34,942991.0425474881,44.467325706765514,0.030861995632463668,1.729314717125938,0.014124238191229228,94.4030448738522,5.986322548778844e-09,276,0.0,18.574735900037922
35,943050.1225209131,29.135500367948104,0.04132730971456617,1.7286606089504066,0.014126876705987577,63.55557620745276,8.58335624798201e-09,267,0.0,18.87086070002988
36,943114.9091669312,11.991658355186349,0.04571427401315413,1.7279573925565626,0.014127896098986743,27.55886905166426,8.20273271529004e-09,250,6.011164503196688e-08,19.161636600038037
37,943176.9369318265,5.346709537357778,0.04386945209592798,1.727373286386175,0.014127362574054331,7.062794793455396e-10,9.671794032328762e-09,241,0.0,19.444416100042872
