od_id,departure_time,scenario_id,scale_id,mode_id,nest_id,probability_conditional,person_trips_conditional_engineering_mass,person_trips_panel
panel_od_002,12:30:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11493088174657792,0.6075626445861394,5.286330665467375
panel_od_002,12:30:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.018051035096721776,0.09542374037522817,5.286330665467375
panel_od_002,12:30:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,DA,Auto,0.7867279981578218,4.158904342043454,5.286330665467375
panel_od_002,12:30:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S2,Auto,0.128383955619702,0.6786800415464332,5.286330665467375
panel_od_002,12:30:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S3,Auto,0.06249118002695482,0.3303490412977336,5.286330665467375
panel_od_002,12:30:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,TW,Transit,0.022396866195521496,0.11839724057975491,5.286330665467375
panel_od_002,12:30:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6767696198680588,3.577627994965218,5.286330665467375
panel_od_002,12:30:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.19024846328864167,1.0057162855407906,5.286330665467375
panel_od_002,12:30:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11493088174657792,0.6075626445861394,5.286330665467375
panel_od_002,12:30:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.018051035096721776,0.09542374037522817,5.286330665467375
panel_od_002,12:30:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,DA,Auto,0.7867279981578218,4.158904342043454,5.286330665467375
panel_od_002,12:30:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,S2,Auto,0.128383955619702,0.6786800415464332,5.286330665467375
panel_od_002,12:30:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,S3,Auto,0.06249118002695482,0.3303490412977336,5.286330665467375
panel_od_002,12:30:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,TW,Transit,0.022396866195521496,0.11839724057975491,5.286330665467375
panel_od_002,12:30:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6767696198680588,3.577627994965218,5.286330665467375
panel_od_002,12:30:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.19024846328864167,1.0057162855407906,5.286330665467375
panel_od_002,12:30:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11493088174657792,0.6075626445861394,5.286330665467375
panel_od_002,12:30:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.018051035096721776,0.09542374037522817,5.286330665467375
panel_od_002,12:30:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,DA,Auto,0.7867279981578218,4.158904342043454,5.286330665467375
panel_od_002,12:30:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,S2,Auto,0.128383955619702,0.6786800415464332,5.286330665467375
panel_od_002,12:30:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,S3,Auto,0.06249118002695482,0.3303490412977336,5.286330665467375
panel_od_002,12:30:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,TW,Transit,0.022396866195521496,0.11839724057975491,5.286330665467375
panel_od_002,12:40:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6759358589192372,3.5732204588937932,5.286330665467375
panel_od_002,12:40:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.19001408258565694,1.0044772716432087,5.286330665467375
panel_od_002,12:40:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.1147892901647445,0.6068141446651214,5.286330665467375
panel_od_002,12:40:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.019260768330361267,0.10181879026525162,5.286330665467375
panel_od_002,12:40:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,DA,Auto,0.7855257845116828,4.152549043179426,5.286330665467375
panel_od_002,12:40:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S2,Auto,0.12818776971586648,0.677642937986855,5.286330665467375
panel_od_002,12:40:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S3,Auto,0.06239568609567533,0.3298442288004448,5.286330665467375
panel_od_002,12:40:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,TW,Transit,0.023890759676775335,0.12629445550064888,5.286330665467375
panel_od_002,12:40:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6759358589192372,3.5732204588937932,5.286330665467375
panel_od_002,12:40:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.19001408258565694,1.0044772716432087,5.286330665467375
panel_od_002,12:40:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.1147892901647445,0.6068141446651214,5.286330665467375
panel_od_002,12:40:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.019260768330361267,0.10181879026525162,5.286330665467375
panel_od_002,12:40:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,DA,Auto,0.7855257845116828,4.152549043179426,5.286330665467375
panel_od_002,12:40:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,S2,Auto,0.12818776971586648,0.677642937986855,5.286330665467375
panel_od_002,12:40:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,S3,Auto,0.06239568609567533,0.3298442288004448,5.286330665467375
panel_od_002,12:40:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,TW,Transit,0.023890759676775335,0.12629445550064888,5.286330665467375
panel_od_002,12:40:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6759358589192372,3.5732204588937932,5.286330665467375
panel_od_002,12:40:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.19001408258565694,1.0044772716432087,5.286330665467375
panel_od_002,12:40:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.1147892901647445,0.6068141446651214,5.286330665467375
panel_od_002,12:40:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.019260768330361267,0.10181879026525162,5.286330665467375
panel_od_002,12:40:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,DA,Auto,0.7855257845116828,4.152549043179426,5.286330665467375
panel_od_002,12:40:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,S2,Auto,0.12818776971586648,0.677642937986855,5.286330665467375
panel_od_002,12:40:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,S3,Auto,0.06239568609567533,0.3298442288004448,5.286330665467375
panel_od_002,12:40:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,TW,Transit,0.023890759676775335,0.12629445550064888,5.286330665467375
panel_od_002,12:50:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6767696198680588,3.577627994965218,5.286330665467375
panel_od_002,12:50:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.19024846328864167,1.0057162855407906,5.286330665467375
panel_od_002,12:50:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11493088174657792,0.6075626445861394,5.286330665467375
panel_od_002,12:50:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.018051035096721776,0.09542374037522817,5.286330665467375
panel_od_002,12:50:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,DA,Auto,0.7867279981578218,4.158904342043454,5.286330665467375
panel_od_002,12:50:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S2,Auto,0.128383955619702,0.6786800415464332,5.286330665467375
panel_od_002,12:50:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S3,Auto,0.06249118002695482,0.3303490412977336,5.286330665467375
panel_od_002,12:50:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,TW,Transit,0.022396866195521496,0.11839724057975491,5.286330665467375
panel_od_002,12:50:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6767696198680588,3.577627994965218,5.286330665467375
panel_od_002,12:50:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.19024846328864167,1.0057162855407906,5.286330665467375
panel_od_002,12:50:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11493088174657792,0.6075626445861394,5.286330665467375
panel_od_002,12:50:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.018051035096721776,0.09542374037522817,5.286330665467375
panel_od_002,12:50:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,DA,Auto,0.7867279981578218,4.158904342043454,5.286330665467375
panel_od_002,12:50:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,S2,Auto,0.128383955619702,0.6786800415464332,5.286330665467375
panel_od_002,12:50:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,S3,Auto,0.06249118002695482,0.3303490412977336,5.286330665467375
panel_od_002,12:50:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,TW,Transit,0.022396866195521496,0.11839724057975491,5.286330665467375
panel_od_002,12:50:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6767696198680588,3.577627994965218,5.286330665467375
