round,demand_id,artificial_flow
66,B04,0.0
66,B05,4.272422887405358
66,B06,0.0
66,B07,0.0
66,B08,0.6016834922625072
66,B09,0.0
66,B10,0.0
67,B01,4.049903235666248
67,B02,0.0
67,B03,0.0
67,B04,0.0
67,B05,4.272422887405358
67,B06,0.0
67,B07,0.0
67,B08,0.25511984693523004
67,B09,0.0
67,B10,0.0
68,B01,4.049903235666248
68,B02,0.0
68,B03,0.0
68,B04,0.0
68,B05,4.272422887405358
68,B06,0.0
68,B07,0.0
68,B08,0.0
68,B09,0.20326407681037462
68,B10,0.0
69,B01,4.049903235666248
69,B02,0.0
69,B03,0.0
69,B04,0.0
69,B05,4.272422887405358
69,B06,0.0
69,B07,0.0
69,B08,0.12943821866656235
69,B09,0.0
69,B10,0.07382585814381204
70,B01,4.049903235666248
70,B02,0.0
70,B03,0.0
70,B04,0.0
70,B05,4.272422887405358
70,B06,0.0
70,B07,0.0
70,B08,0.20326407681037528
70,B09,0.0
70,B10,0.0
71,B01,4.049903235666248
71,B02,0.0
71,B03,0.0
71,B04,0.0
71,B05,4.272422887405358
71,B06,0.0
71,B07,0.0
71,B08,0.0
71,B09,0.0
71,B10,0.0
72,B01,2.966569902332915
72,B02,0.0
72,B03,0.0
72,B04,0.10008126330462108
72,B05,4.272422887405358
72,B06,0.0
72,B07,0.0
72,B08,0.0
72,B09,0.0
72,B10,0.0
73,B01,2.966569902332915
73,B02,0.0
73,B03,0.0
73,B04,0.10008126330462108
73,B05,4.272422887405358
73,B06,0.0
73,B07,0.0
73,B08,0.0
73,B09,0.0
73,B10,0.0
74,B01,2.966569902332915
74,B02,0.0
74,B03,0.0
74,B04,0.0
74,B05,4.272422887405358
74,B06,0.0
74,B07,0.0
74,B08,0.0
74,B09,0.0
74,B10,0.0
75,B01,4.049903235666248
75,B02,0.0
75,B03,0.0
75,B04,0.0
75,B05,3.1890895540720248
75,B06,0.0
75,B07,0.0
75,B08,0.0
75,B09,0.0
75,B10,0.0
76,B01,3.5582772006518915
76,B02,0.0
76,B03,0.0
76,B04,0.0
76,B05,3.1890895540720248
76,B06,0.0
76,B07,0.0
76,B08,0.0
76,B09,0.0
76,B10,0.0
77,B01,2.4749438673185584
77,B02,0.0
77,B03,0.0
77,B04,0.0
77,B05,3.1890895540720248
77,B06,0.0
77,B07,0.0
77,B08,0.0
77,B09,0.0
77,B10,0.0
78,B01,2.136608402401593
78,B02,0.0
78,B03,0.0
78,B04,0.0
78,B05,3.1890895540720248
78,B06,0.0
78,B07,0.0
78,B08,0.0
78,B09,0.0
78,B10,0.0
79,B01,0.0
79,B02,0.0
79,B03,0.15329057009739055
79,B04,1.183414596637954
79,B05,3.9889927897382726
79,B06,0.0
79,B07,0.0
79,B08,0.0
79,B09,0.0
79,B10,0.0
80,B01,2.474943867318559
80,B02,0.0
80,B03,0.0
80,B04,0.0
80,B05,2.1057562207386917
80,B06,0.0
80,B07,0.0
80,B08,0.0
80,B09,0.0
80,B10,0.0
81,B01,1.2224428015267426
81,B02,0.0
81,B03,0.0
81,B04,0.0
81,B05,3.1890895540720243
81,B06,0.0
81,B07,0.0
81,B08,0.0
81,B09,0.0
81,B10,0.0
82,B01,0.6307355032077655
82,B02,0.0
82,B03,-0.0
82,B04,0.0
82,B05,2.697463519057668
82,B06,0.0
82,B07,0.0
82,B08,0.0
82,B09,0.0
82,B10,0.0
83,B01,0.13910946819340908
83,B02,0.0
83,B03,0.0
83,B04,0.0
83,B05,2.105756220738691
83,B06,0.0
83,B07,0.0
83,B08,0.0
83,B09,0.0
83,B10,0.0
84,B01,0.1391094681934093
84,B02,0.0
84,B03,0.0
84,B04,0.0
84,B05,2.105756220738691
84,B06,0.0
84,B07,0.0
84,B08,0.0
84,B09,0.0
84,B10,0.0
85,B01,0.0
85,B02,0.0
85,B03,0.0
85,B04,0.0
85,B05,2.1057562207386917
85,B06,0.0
85,B07,0.0
85,B08,0.0
85,B09,0.0
85,B10,0.0
86,B01,0.0
86,B02,0.0
86,B03,0.0
86,B04,0.0
86,B05,1.9923646231402845
86,B06,0.0
86,B07,0.0
86,B08,0.0
86,B09,0.0
86,B10,0.0
87,B01,0.0
87,B02,0.0
87,B03,0.3367051667353451
87,B04,0.0
87,B05,1.6556594564049392
87,B06,0.0
87,B07,0.0
87,B08,0.0
87,B09,0.0
87,B10,0.0
88,B01,0.0
88,B02,0.0
88,B03,0.0
88,B04,0.0
88,B05,1.022422887405358
88,B06,0.0
88,B07,0.0
88,B08,0.0
88,B09,0.0
88,B10,0.0
89,B01,0.0
89,B02,0.0
89,B03,0.0
89,B04,0.0
89,B05,0.25574071970956047
89,B06,0.0
89,B07,0.0
89,B08,0.0
89,B09,0.0
89,B10,0.0
90,B01,0.0
90,B02,0.0
90,B03,0.0
90,B04,0.0
90,B05,0.0
90,B06,0.0
90,B07,0.0
90,B08,0.0
90,B09,0.0
90,B10,0.0
