path_id,path_index,link_order,link_id,link_index
OD002_P01,11,3,18018,3706
OD002_P01,11,4,15640,4411
OD002_P01,11,5,15585,371
OD002_P01,11,6,18137,370
OD002_P01,11,7,18142,374
OD002_P01,11,8,18139,1976
OD002_P01,11,9,18116,2317
OD002_P01,11,10,18163,2326
OD002_P02,12,0,17959,1273
OD002_P02,12,1,18013,1267
OD002_P02,12,2,18020,1271
OD002_P02,12,3,15640,4411
OD002_P02,12,4,17180,372
OD002_P02,12,5,17181,3611
OD002_P02,12,6,15604,1972
OD002_P02,12,7,18139,1976
OD002_P02,12,8,18116,2317
OD002_P02,12,9,18163,2326
OD002_P03,13,0,17959,1273
OD002_P03,13,1,18013,1267
OD002_P03,13,2,18021,1270
OD002_P03,13,3,18018,3706
OD002_P03,13,4,15640,4411
OD002_P03,13,5,17180,372
OD002_P03,13,6,17181,3611
OD002_P03,13,7,15604,1972
OD002_P03,13,8,18139,1976
OD002_P03,13,9,18116,2317
OD002_P03,13,10,18163,2326
OD002_P04,14,0,17959,1273
OD002_P04,14,1,18013,1267
OD002_P04,14,2,18021,1270
OD002_P04,14,3,18016,3705
OD002_P04,14,4,17771,1196
OD002_P04,14,5,18121,3708
OD002_P04,14,6,18153,2321
OD002_P04,14,7,17775,2323
OD002_P04,14,8,17812,1194
OD002_P04,14,9,17773,1198
OD002_P04,14,10,18191,3838
OD002_P04,14,11,18093,4812
OD002_P04,14,12,18149,67
OD002_P04,14,13,18114,68
OD002_P04,14,14,18116,2317
OD002_P04,14,15,18163,2326
OD003_P00,15,0,17959,1273
OD003_P00,15,1,18013,1267
OD003_P00,15,2,18020,1271
OD003_P00,15,3,15640,4411
OD003_P00,15,4,15585,371
OD003_P00,15,5,18137,370
OD003_P00,15,6,18142,374
OD003_P00,15,7,18139,1976
OD003_P00,15,8,18143,2318
OD003_P00,15,9,18118,2327
OD003_P00,15,10,18148,1973
OD003_P00,15,11,15605,2166
OD003_P00,15,12,17186,2167
OD003_P00,15,13,17190,3766
OD003_P00,15,14,17191,2990
OD003_P00,15,15,17057,3546
OD003_P00,15,16,17208,3544
OD003_P00,15,17,17205,922
OD003_P00,15,18,17194,151
OD003_P00,15,19,17211,921
OD003_P00,15,20,14243,911
OD003_P00,15,21,18664,912
OD003_P00,15,22,18686,2614
OD003_P00,15,23,18680,916
OD003_P00,15,24,18668,3769
OD003_P00,15,25,18669,2881
OD003_P00,15,26,18676,2882
OD003_P00,15,27,18286,3472
OD003_P00,15,28,18294,3774
OD003_P00,15,29,18487,2625
OD003_P00,15,30,18488,2627
OD003_P00,15,31,18437,2789
OD003_P00,15,32,18503,2844
OD003_P00,15,33,18551,4212
OD003_P00,15,34,18550,3241
OD003_P00,15,35,18547,3242
OD003_P00,15,36,18548,3243
OD003_P00,15,37,18552,2268
OD003_P00,15,38,14267,3352
OD003_P00,15,39,15572,3603
OD003_P00,15,40,15564,4643
OD003_P00,15,41,15567,4645
OD003_P00,15,42,15569,772
OD003_P00,15,43,15560,771
OD003_P00,15,44,15550,775
OD003_P00,15,45,15554,3524
OD003_P00,15,46,15557,4723
OD003_P00,15,47,15559,5087
OD003_P00,15,48,15553,4603
OD003_P01,16,0,17959,1273
