path_index,path_id,od_index,od_id,o_node_id,d_node_id,rank_in_od,link_id_sequence,free_flow_cost_min,generation_method,source_identity
31,OD006_P01,6,2682->2032,2682,2032,1,14190;13491;14027;13489;14191;14115;13490;14110;14111;14104;12219;14794;14355;14360;15504;14254;16798;16799;16782;16800;16801;16784;16618;16889;16819;16908;16907;16897;16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18006,9.220870333333332,yen_loopless_exact_link_ids_vdf_fftt,30b3c8fdd04a3e7b
32,OD006_P02,6,2682->2032,2682,2032,2,14190;13491;14027;13489;14191;14115;13490;14110;14112;14113;14104;12219;14794;14355;14360;15504;14254;16798;16799;16782;16800;16801;16784;16618;16889;16819;16908;16907;16897;16918;16924;16621;17113;17117;17116;17112;17061;16603;17037;17040;17049;17052;15650;18009;18006,9.233442333333333,yen_loopless_exact_link_ids_vdf_fftt,ae368bf272928dc0
33,OD006_P03,6,2682->2032,2682,2032,3,14190;13491;14027;13489;14191;14115;13490;14103;12219;14794;14355;14360;15504;14254;16798;16799;16782;16800;16801;16784;16618;16889;16819;16908;16907;16897;16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17958,9.24415,yen_loopless_exact_link_ids_vdf_fftt,aec4eb4aee8a3c45
34,OD006_P04,6,2682->2032,2682,2032,4,14190;13491;14027;13489;14191;14115;13490;14110;14111;14104;12219;14794;14355;14360;15504;14254;16798;16799;16782;16800;16801;16784;16618;16889;16819;16908;16907;16897;16918;16924;16621;17113;17117;17116;17112;17061;17167;17166;17158;15632;18014;17958,9.247627,yen_loopless_exact_link_ids_vdf_fftt,c8c2eea1d32dbaa3
35,OD007_P00,7,2682->4914,2682,4914,0,14190;13491;14027;13489;14191;14188;14205;14199;14195;14120;14166;14150;14151;12228;14245;16366;15616;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825,9.535898333333332,yen_loopless_exact_link_ids_vdf_fftt,2b8d71b8ee615c9b
36,OD007_P01,7,2682->4914,2682,4914,1,14190;13491;14027;13489;14191;14188;14194;14192;14199;14195;14120;14166;14150;14151;12228;14245;16366;15616;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825,9.699232333333333,yen_loopless_exact_link_ids_vdf_fftt,51babf1d74be6103
37,OD007_P02,7,2682->4914,2682,4914,2,14190;13491;14027;13489;14191;14188;14205;14199;14195;14120;14166;14150;14151;12228;14245;16366;15616;17481;17479;17482;17485;15636;17944;17929;17931;17906;17903;17825,9.794642333333334,yen_loopless_exact_link_ids_vdf_fftt,9e0ad4d967cc2e33
38,OD007_P03,7,2682->4914,2682,4914,3,14190;13491;14027;13489;14191;14188;14205;14199;14201;14200;14189;14120;14166;14150;14151;12228;14245;16366;15616;17481;17479;17482;17485;15636;17907;17814;17818;17904;17825,9.873915333333333,yen_loopless_exact_link_ids_vdf_fftt,3fbff1d9d193201b
39,OD007_P04,7,2682->4914,2682,4914,4,14190;13491;14027;13489;14191;14188;14205;14199;14195;14120;14166;14150;14151;12228;14245;16366;15616;17481;17479;17482;17485;15636;17907;17814;18054;18060;18061;17808;17904;17825,9.924141666666666,yen_loopless_exact_link_ids_vdf_fftt,e5876267633794c2
40,OD008_P00,8,3858->1492,3858,1492,0,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15592,2.294299333333333,yen_loopless_exact_link_ids_vdf_fftt,d217f24c1bb93b5d
41,OD008_P01,8,3858->1492,3858,1492,1,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15592,2.295432,yen_loopless_exact_link_ids_vdf_fftt,4b1899e91f259b62
